course,link,nutrition
Main,https://cookieandkate.com/2013/crispy-mushroom-spinach-and-avocado-quesadillas/,
Main,https://cookieandkate.com/2012/carrot-cake-pancakes/,
Dessert,https://cookieandkate.com/2015/healthy-carrot-muffins-recipe/,
Appetizer,https://cookieandkate.com/2015/vegan-chipotle-carrot-queso/,
Dessert,https://cookieandkate.com/2015/blueberry-lemon-yogurt-cake-recipe/,
Main,https://cookieandkate.com/2012/blueberry-lemon-yogurt-pancakes/,
Dessert,https://cookieandkate.com/2016/lemon-curd-recipe/,
Dessert,https://cookieandkate.com/2016/healthy-raspberry-muffins-recipe/,
Dessert,https://cookieandkate.com/2011/healthy-lemon-blueberry-scones/,
Appetizer,https://cookieandkate.com/2015/roasted-broccoli-crostini-with-sun-dried-tomato-hummus/,
Main,https://cookieandkate.com/2015/pea-and-asparagus-risotto-recipe/,
Main,https://cookieandkate.com/2013/minty-pea-pesto-with-rice-and-radishes/,
Main,https://cookieandkate.com/2015/brussels-sprouts-pizza-recipe/,
Soup,https://cookieandkate.com/2014/creamy-vegan-pumpkin-Soup/,
Main,https://cookieandkate.com/2017/creamy-pumpkin-marinara-recipe/,
Main,https://cookieandkate.com/2016/broccoli-chickpea-pita-sandwiches/,
Salad,https://cookieandkate.com/2015/greek-broccoli-Salad-recipe/,
Dessert,https://cookieandkate.com/2010/mini-blackberry-cobbler-recipe/,
Dessert,https://cookieandkate.com/2011/blackberry-peach-galette-recipe/,
Dessert,https://cookieandkate.com/2018/tropical-fruit-Salad-recipe/,
Main,https://cookieandkate.com/2014/barbecue-pineapple-jalapeno-and-feta-pizza/,
Appetizer,https://cookieandkate.com/2018/avocado-toast-recipe/,
Appetizer,https://cookieandkate.com/2018/crispy-hash-browns-recipe/,
Appetizer,https://www.allrecipes.com/recipe/215553/cucumber-melon-salsa/?internalSource=streams&referringId=14366&referringContentType=Recipe%20Hub&clickId=st_trending_b,
Appetizer,https://www.allrecipes.com/recipe/14576/skewered-cantaloupe/?internalSource=streams&referringId=14366&referringContentType=Recipe%20Hub&clickId=st_trending_s,
Salad,https://www.allrecipes.com/recipe/74054/spinach-cantaloupe-Salad-with-mint/?internalSource=streams&referringId=14366&referringContentType=Recipe%20Hub&clickId=st_trending_s,
Dessert,https://www.allrecipes.com/recipe/43914/supreme-strawberry-topping/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%204,
Dessert,https://www.allrecipes.com/recipe/21712/chocolate-covered-strawberries/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202,
Dessert,https://cookieandkate.com/2016/healthy-apple-muffins-recipe/,
Salad,https://cookieandkate.com/2012/apple-slaw-recipe/,
Dessert,https://cookieandkate.com/2013/chai-coconut-ice-cream/,
Dessert,https://cookieandkate.com/2016/triple-coconut-granola-recipe/,
Appetizer,https://www.thespruceeats.com/south-indian-coconut-chutney-1957646,
Dessert,https://www.deliciousliving.com/recipe/fig-pie/,
Salad,https://www.allrecipes.com/recipe/234219/orange-fig-and-gorgonzola-Salad/?internalSource=streams&referringId=1102&referringContentType=Recipe%20Hub&clickId=st_trending_s,
Dessert,https://www.allrecipes.com/recipe/50843/fig-and-olive-tapenade/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%208,
Appetizer,https://www.allrecipes.com/recipe/140999/roasted-red-onions-stuffed-with-mascarpone-cheese/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2020,
Appetizer,https://www.allrecipes.com/recipe/127602/pickled-grilled-red-onions/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202,
Appetizer,https://www.allrecipes.com/recipe/18258/caramelized-red-bell-peppers-and-onions/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%203,
Soup,https://www.allrecipes.com/recipe/15413/roasted-red-bell-pepper-Soup/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%209,
Appetizer,https://www.allrecipes.com/recipe/132634/special-oranges/?internalSource=recipe%20hub&referringContentType=Search&clickId=cardslot%2022,
Salad,https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-Salad/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2015,
Dessert,https://www.allrecipes.com/recipe/165149/orange-meringue-pie/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2019,
Appetizer,https://www.allrecipes.com/recipe/216669/curried-corn/?internalSource=recipe%20hub&referringContentType=Search&clickId=cardslot%2023,
Dessert,https://www.allrecipes.com/recipe/7216/sweet-corn-cake/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%204,
Appetizer,https://www.allrecipes.com/recipe/233775/spicy-and-cheesy-creamed-corn/?internalSource=staff%20pick&referringId=1082&referringContentType=Recipe%20Hub&clickId=cardslot%205,
Salad,https://www.allrecipes.com/recipe/14170/strawberry-kiwi-and-spinach-Salad/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202,
Dessert,https://www.allrecipes.com/recipe/79883/strawberry-kiwi-tartlets/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2015,
Dessert,https://www.allrecipes.com/recipe/237750/tropical-kiwi-ice-pops/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2014,
Appetizer,https://www.allrecipes.com/recipe/254419/watermelon-caprese-appetizer/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%208,
Appetizer,https://www.allrecipes.com/recipe/215583/french-watermelon/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2016,
Dessert,https://www.allrecipes.com/recipe/12340/watermelon-pie/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%2013,
